,,,
,Theme,상황,매너 명칭,액션 가이드,따뜻한 한 줄,플래시카드,
,마음을 잇는 식탁 (식사 및 회식 매너),커피 타임,후식의 배려,식후 커피를 마실 때 카페인에 민감한 동료를 위해 디카페인 확인하기,"""작은 취향까지 기억해주는 당신의 섬세함에 동료는 감동합니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),회식 귀가,안부의 확인,늦게 끝난 회식 후엔 팀원들이 잘 들어갔는지 톡으로 가볍게 묻기,"""마지막까지 챙기는 당신의 다정함이 내일 아침을 기분 좋게 만듭니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),음식 덜기,집게의 매너,큰 그릇의 음식을 덜어줄 땐 개인 접시에 정갈하게 담아 건네기,"""정성껏 담아 건네는 손길에 당신의 따뜻한 마음이 고스란히 실립니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),식당 예약,예약의 신중,단체 예약 시 인원 변동이 생기면 식당에 미리 전화해 알리기,"""약속을 소중히 여기는 당신의 신중함이 팀의 평판을 높입니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),매운 음식,배려의 주문,매운 음식을 시킬 땐 매운 정도를 조절하거나 안 매운 메뉴 섞기,"""모두의 입맛을 아우르는 당신의 센스가 즐거운 식사 시간을 만듭니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),식사 예절,소리 없는 식사,쩝쩝거리는 소리나 수저 부딪히는 소리가 너무 크지 않게 주의하기,"""정갈한 식사 태도에서 당신의 격조 높은 품격이 느껴집니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),회식 장소,이동의 편의,회식 장소를 정할 땐 모두가 귀가하기 편한 위치를 우선 고려하기,"""귀갓길까지 걱정하는 당신의 사려 깊음이 모두를 미소 짓게 합니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),자기 절제,과음의 경계,회식 자리에서 취기가 오르면 스스로 절제하여 흐트러진 모습 안 보이기,"""끝까지 단정함을 잃지 않는 당신은 진정한 자기 관리의 달인입니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),식탁 위 소지품,공간의 확보,식탁 위에 차 키나 핸드폰을 올려두기보다 가방이나 주머니에 넣기,"""식탁을 온전히 대화와 식사의 공간으로 만드는 당신의 센스가 돋보입니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),즐거운 마무리,긍정의 피드백,"식사 후 ""오늘 메뉴 선택 정말 좋았어요""라고 담당자 칭찬하기","""당신의 긍정적인 한마디가 메뉴를 고민한 동료의 노고를 보상해줍니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",상사 보고,중간 보고의 안심,일이 다 끝나기 전이라도 진행 상황을 중간중간 짧게 보고하기,"""당신의 정기적인 공유는 상사의 불안을 확신으로 바꾸는 신뢰의 씨앗입니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",후배 피드백,샌드위치 화법,칭찬으로 시작해 고칠 점을 말하고 다시 격려로 마무리하기,"""비판보다 성장을 돕는 당신의 다정한 조언이 후배의 내일을 바꿉니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",동료 칭찬,공개 칭찬의 힘,회의나 단톡방에서 동료의 작은 성과를 모두 앞에서 칭찬해주기,"""공개적인 인정은 동료에게 가장 값진 보너스이자 자부심이 됩니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",지시 이행,경청의 메모,지시를 받을 땐 수첩을 지참해 핵심 내용을 메모하며 듣기,"""기록하는 당신의 자세에서 업무에 대한 진지함과 존중이 느껴집니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",사적 심부름,공사 구분의 선,후배나 부하 직원에게 개인적인 심부름을 절대 시키지 않기,"""권위보다 인격으로 다가갈 때, 당신은 진심으로 따르고 싶은 리더가 됩니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",호칭 예절,존중의 이름표,"직급이 낮더라도 ""야"", ""너"" 대신 정확한 직함과 성함을 불러주기","""올바른 호칭은 서로의 전문성을 인정하는 가장 기본적인 예의입니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",신입 사원,온보딩의 다정함,새로 온 동료에게 먼저 다가가 사내 시설이나 문화를 친절히 안내하기,"""당신의 따뜻한 첫 인사가 낯선 환경의 긴장을 설렘으로 바꿉니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",의견 제안,정중한 이견,"상사의 의견과 다를 땐 ""그건 틀려요"" 대신 ""이런 관점도 고려해볼까요?"" 하기","""예의 있는 반론은 조직을 더 건강하고 창의적으로 만드는 영양제입니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",업무 위임,가이드의 명확함,후배에게 업무를 맡길 땐 목표와 참고 자료를 충분히 제공하기,"""친절한 가이드는 시행착오를 줄이고 후배의 성장을 돕는 훌륭한 교과서입니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",퇴근 전 지시,시간의 존중,가급적 퇴근 직전에는 새로운 업무 지시나 회의 소집 자제하기,"""동료의 저녁 시간을 아끼는 당신의 배려가 행복한 일터를 만듭니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",동료의 실수,보호의 그늘,동료가 실수했을 때 비난하기보다 함께 해결책을 고민하며 감싸주기,"""함께 비를 맞아주는 동료가 있다는 사실만으로도 큰 위로가 됩니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",의사 결정,경청의 포용,"결론을 내리기 전, 팀원들의 의견을 충분히 묻고 반영하려 노력하기","""모두의 목소리를 담은 결정은 가장 강력한 추진력을 얻게 됩니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",사생활 존중,질문의 경계,"동료의 결혼, 연애, 가정사 등 사적인 영역을 무례하게 묻지 않기","""적당한 거리감을 유지하는 당신의 센스가 서로를 더 편안하게 만듭니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",상사 예우,출근의 인사,"아침에 상사나 선배를 뵈면 먼저 밝게 ""좋은 아침입니다"" 인사하기","""당신의 활기찬 인사가 팀 전체의 기운을 북돋우는 알람이 됩니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",성과 공유,우리라는 공로,"프로젝트 성공 후 ""제 덕분""보다 ""팀원들 덕분""이라고 공을 돌리기","""공을 나눌 줄 아는 당신의 겸손함이 더 큰 성공을 불러옵니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",업무 부탁,청유의 미학,"""이거 해""라는 명령조보다 ""이것 좀 부탁해도 될까?""라고 묻기","""부탁의 말 한마디에 담긴 존중이 동료를 기쁘게 움직이게 합니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",휴가 배려,부재의 지원,동료가 휴가 갈 때 업무를 대신 챙겨주며 편히 쉬라고 말해주기,"""서로의 휴식을 지켜주는 마음이 끈끈한 팀워크의 시작입니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",세대 갈등,다름의 수용,신조어나 조직 문화의 차이를 비꼬지 않고 서로 배우려 노력하기,"""차이를 즐기는 당신의 유연함이 세대를 잇는 다리가 됩니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",회의 발언,기회의 평등,"말수가 적은 동료에게 ""OO님 의견도 궁금해요""라고 판 깔아주기","""당신의 작은 관심이 숨겨진 보석 같은 아이디어를 세상 밖으로 꺼냅니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",거절의 예절,사유의 설명,요청을 거절할 땐 안 되는 이유를 충분히 설명하고 미안함 전하기,"""거절에도 예의를 담는 당신은 관계를 망치지 않는 지혜로운 분입니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",상사 비방,침묵의 품격,동료들끼리 모여 상사나 특정 직원을 험담하는 자리에 동조하지 않기,"""부정적인 말에 휩쓸리지 않는 당신의 침묵이 당신의 평판을 지킵니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",업무 피드백,단둘이 대화,질책이나 수정 사항은 가급적 다른 사람들이 없는 곳에서 전달하기,"""상대의 자존심을 지켜주는 배려가 변화를 이끄는 진정한 힘입니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",멘토링,경험의 나눔,후배가 어려워하는 실무 노하우를 아낌없이 공유하고 도와주기,"""당신의 아낌없는 나눔이 후배에겐 성장을 향한 가장 빠른 지름길이 됩니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",직급 호칭,승진의 축하,동료가 승진했을 때 진심으로 기뻐하며 바뀐 직함을 정확히 불러주기,"""진심 어린 축하 한마디가 그동안의 노고를 보상받는 기분을 느끼게 합니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",메일 참조,정보의 투명성,업무 관련 담당자들을 참조(CC)에 넣어 정보 소외를 방지하기,"""정보를 투명하게 공유하는 당신의 습관이 불필요한 오해를 막습니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",전화 매너,낮은 목소리,사무실에서 통화할 땐 주변을 배려해 평소보다 한 톤 낮춰 말하기,"""당신의 절제된 목소리가 동료들의 집중력을 지켜주는 방패가 됩니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",회의 태도,시각적 경청,발표자가 누구든 눈을 맞추고 고개를 끄덕이며 적극적으로 듣기,"""경청하는 당신의 태도가 발표자에게는 세상에서 가장 큰 응원입니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",업무 마감,기한의 엄수,지시받은 업무는 약속한 시간보다 조금 앞당겨 제출하는 습관 갖기,"""기한을 지키는 성실함이 당신을 프로로 만드는 가장 강력한 무기입니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",감사 표현,고마움의 습관,"작은 도움이라도 받았을 땐 즉시 ""도와주셔서 감사합니다""라고 말하기","""고맙다는 말은 협업을 즐거운 축제로 만드는 마법의 주문입니다.""",,
,"직급 너머의 존중 (상사, 동료, 부하 직원)",마지막 인사,퇴근의 예의,"먼저 퇴근할 때 남은 팀원들에게 ""먼저 들어가 보겠습니다"" 인사하기","""당신의 다정한 퇴근 인사가 남은 이들의 어깨를 가볍게 다독여줍니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),출근 시간,10분의 여유,업무 시작 10분 전에 도착해 차 한 잔 마시며 하루를 계획하기,"""당신의 여유로운 아침 시작이 오늘 하루의 성과를 결정짓습니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),책상 정돈,깔끔한 업무지표,퇴근 전 책상 위 서류와 비품을 가지런히 정돈하고 퇴근하기,"""정리된 책상은 당신의 명료한 생각과 체계적인 업무 능력을 보여줍니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),복장 매너,T.P.O의 준수,장소와 상황에 맞는 단정한 복장으로 신뢰감을 주기,"""깔끔한 옷차림은 당신의 전문성을 시각적으로 완성하는 첫 번째 단추입니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),감정 컨트롤,평정심의 유지,개인적인 화나 슬픔을 업무 공간이나 동료에게 표출하지 않기,"""감정을 다스리는 당신의 차분함이 프로페셔널의 무게를 더해줍니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),건강 관리,최상의 컨디션,충분한 휴식과 자기 관리로 업무에 지장이 없도록 체력 유지하기,"""당신의 건강한 몸과 마음이 지속 가능한 성장을 만드는 가장 큰 자본입니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),메모 습관,아이디어 낚시,떠오르는 아이디어나 지시 사항은 즉시 메모하여 놓치지 않기,"""작은 메모들이 모여 당신을 대체 불가능한 핵심 인재로 만듭니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),장비 관리,도구의 소중함,회사에서 지급받은 노트북이나 장비를 내 것처럼 아끼고 청결히 쓰기,"""사용하는 도구를 아끼는 마음에서 당신의 직업 정신이 묻어납니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),자기 계발,성장의 멈춤 금지,업무 관련 도서나 강의를 통해 매일 조금씩 지식의 폭 넓히기,"""멈추지 않는 성장은 당신을 어제보다 더 나은 내일로 안내합니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),시간 관리,우선순위 설정,출근 직후 투두 리스트(To-Do List)를 작성해 중요한 일부터 처리하기,"""시간을 지배하는 당신의 효율성이 불가능해 보이던 목표를 현실로 바꿉니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),휴식의 기술,몰입을 위한 쉼,지칠 땐 5분간 스트레칭이나 명상을 하며 뇌에 휴식 주기,"""잠시 멈추는 법을 아는 사람만이 더 멀리, 더 높이 달려갈 수 있습니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),사무용품,자원의 아낌,이면지 활용을 생활화하고 비품을 낭비하지 않는 검소함 갖기,"""작은 자원을 아끼는 태도에 회사를 사랑하는 진심이 담겨 있습니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),비밀 유지,보안의 수호자,회사의 기밀이나 동료의 개인 정보를 외부에서 절대 발설하지 않기,"""입이 무거운 당신의 신중함이 팀의 안전과 신뢰를 지켜줍니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),언어 사용,품격 있는 어휘,유행어나 비속어 대신 정확하고 품위 있는 비즈니스 용어 사용하기,"""당신이 사용하는 고운 언어가 당신의 품격과 전문성을 정의합니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),질문 습관,명확한 확인,모호한 지시는 다시 확인하여 질문하고 확실히 이해한 후 실행하기,"""한 번 더 묻는 용기가 열 번의 수고를 덜어주는 최고의 지혜입니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),사후 처리,완벽한 마무리,일이 끝난 후 관련 문서와 메일을 카테고리별로 잘 정리해두기,"""끝맺음이 확실한 당신의 뒤태는 모든 동료가 닮고 싶어 하는 교과서입니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),평판 관리,보이지 않는 명함,남들이 보지 않는 곳에서도 늘 바르고 정직하게 행동하기,"""당신의 모든 사소한 행동이 모여 당신이라는 고유한 브랜드를 만듭니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),도구 숙련,툴 사용 능력,"엑셀, 슬랙 등 업무 툴의 단축키를 익혀 업무 속도 높이기","""도구를 자유자재로 다루는 당신의 숙련도가 프로의 속도를 완성합니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),회의 예습,준비된 참석자,회의 참석 전 안건을 미리 숙지하고 내 의견을 1~2개 준비해가기,"""준비된 한마디가 당신을 회의실에서 가장 빛나는 사람으로 만듭니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),약속 엄수,신뢰의 자산,마감 기한이나 미팅 약속을 목숨처럼 소중히 여기기,"""약속을 지키는 당신의 성실함이 세상에서 가장 강력한 신용등급입니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),긍정 확언,할 수 있다는 마음,"어려운 업무 앞에서도 ""해보겠습니다""라는 긍정적인 태도 보이기","""당신의 긍정적인 에너지가 불가능을 가능으로 바꾸는 기적을 만듭니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),개인 보안,자리 비움 잠금,자리를 비울 땐 습관적으로 PC 화면을 잠그고(Win+L) 이동하기,"""보안을 생활화하는 당신의 철저함이 조직의 안전을 책임집니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),메일 읽기,꼼꼼한 확인,메일의 첨부 파일과 수신인을 마지막까지 한 번 더 살피고 보내기,"""꼼꼼하게 살피는 당신의 1초가 큰 사고를 막는 든든한 방패가 됩니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),전화 응대,밝은 목소리,전화를 받을 땐 소속과 이름을 밝히며 미소 띤 목소리로 응대하기,"""수화기 너머 전달되는 당신의 밝은 에너지가 상대의 기분까지 좋게 합니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),목표 의식,지표의 달성,연간/분기별 개인 목표를 세우고 주기적으로 점검하며 달성하기,"""목표를 향해 뚜벅뚜벅 걷는 당신의 발걸음이 위대한 성취를 이뤄냅니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),공정성 유지,사심 없는 업무,친분이나 감정에 치우치지 않고 원칙에 따라 공정하게 업무 처리하기,"""당신의 공정한 잣대가 조직 내의 정의와 신뢰를 바로 세웁니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),스트레스 관리,나만의 해소법,운동이나 취미 등 나만의 스트레스 해소 창구를 만들어 건강 유지하기,"""나를 아끼고 돌볼 줄 아는 사람만이 타인에게도 진정한 배려를 베풉니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),위기 대응,차분한 대처,문제가 발생했을 때 당황하기보다 원인을 파악하고 해결책에 집중하기,"""폭풍 속에서도 흔들리지 않는 당신의 침착함이 팀의 중심을 잡아줍니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),겸손의 미덕,배우려는 자세,신입이나 후배에게도 배울 점이 있다면 기꺼이 질문하고 배우기,"""늘 배움에 열려 있는 당신의 겸손함이 당신을 끊임없이 진화하게 합니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),전달의 기술,두괄식 표현,보고나 대화 시 핵심 결론부터 말해 상대의 이해를 돕기,"""핵심을 찌르는 당신의 명쾌한 화법이 모두의 시간을 가치 있게 만듭니다.""",,
,프로의 마침표 (자기 관리 및 기본 태도),프로의 자부심,일의 가치 발견,내 일이 회사와 사회에 어떤 기여를 하는지 기억하며 자긍심 갖기,"""당신이 하는 일은 세상을 바꾸는 소중한 조각입니다. 스스로를 자랑스러워하세요.""",,
,,,,,
