,Theme,상황,매너 명칭,액션 가이드,따뜻한 한 줄,플래시카드,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),버스/지하철,백팩의 겸손,사람이 많은 곳에선 가방을 앞으로 매거나 발 아래 두기,"""당신의 가방이 차지한 한 뼘의 공간이 누군가에겐 편안한 귀갓길이 됩니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),음악 감상,나만의 멜로디,이어폰 소리가 밖으로 새어 나오지 않는지 한 번 더 확인하기,"""당신의 취향을 조용히 즐기는 모습에서 타인을 존중하는 우아함이 느껴집니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),자리 양보,따뜻한 배려석,"어르신이나 임산부, 몸이 불편한 분께 밝은 미소로 자리 양보하기","""당신이 양보한 자리는 단순한 의자가 아니라 우리 사회의 따뜻한 품격입니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),버스 하차,벨의 예절,내릴 곳을 확인하고 벨은 미리 한 번만 부드럽게 누르기,"""미리 준비하는 당신의 여유가 기사님과 승객 모두를 안심하게 합니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),보행 매너,일렬의 약속,친구들과 길을 걸을 때 나란히 서서 통행을 방해하지 않기,"""나란히 걷기보다 앞뒤로 걷는 배려가 길 위를 모두의 공간으로 만듭니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),편의점,다정한 인사,"물건을 사고 나갈 때 점원에게 ""수고하세요""라고 건네기","""당신의 짧은 한마디는 누군가의 고단한 하루를 밝히는 등불이 됩니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),쓰레기 처리,포켓의 책임,쓰레기통이 보이지 않는다면 집까지 혹은 가방에 넣어 가져가기,"""당신이 머문 거리에 남겨진 깨끗함은 당신의 고운 인품을 증명합니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),교통 안전,시선의 자유,횡단보도를 건널 때는 스마트폰을 잠시 주머니에 넣기,"""화면 속 소식보다 당신의 안전을 살피는 눈동자가 훨씬 더 소중합니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),엘리베이터,열림의 미덕,뒤따라오는 사람이 보인다면 '열림' 버튼을 눌러 기다려주기,"""잠시 멈춘 당신의 손가락이 누군가의 바쁜 걸음을 응원합니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),좁은 길,비켜섬의 예우,좁은 길에서 마주 오는 사람에게 한쪽으로 비켜서 길 터주기,"""먼저 멈춰 서는 당신의 너그러움이 좁은 길을 넓은 마음의 장소로 바꿉니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),공공장소,소리의 절제,카페나 도서관 등 공공장소에서 큰 소리로 떠들거나 웃지 않기,"""당신의 낮은 목소리는 모두가 함께 머물고 싶은 편안한 공간을 만듭니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),비 오는 날,우산의 갈무리,실내로 들어가기 전 우산의 물기를 충분히 털고 갈무리하기,"""바닥을 적시지 않는 당신의 꼼꼼함이 모두의 쾌적함을 지켜줍니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),대중교통 통화,침묵의 대화,"버스나 지하철에서의 통화는 짧게, 목소리는 최대한 낮추기","""당신의 사생활을 아끼는 만큼 타인의 정적도 아껴주는 멋진 사람입니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),무리한 승차,멈춤의 지혜,닫히는 문에 억지로 타지 않고 다음 차를 기다리는 여유 갖기,"""기다리는 당신의 뒷모습에서 안전을 생각하는 성숙함이 느껴집니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),키오스크,기다림의 여유,주문이 서툰 앞사람을 재촉하지 않고 여유 있게 기다려주기,"""당신의 느긋한 기다림은 세상의 속도를 이기는 가장 아름다운 친절입니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),이동 수단,주차의 정석,자전거나 킥보드를 이용한 후 통행에 방해되지 않게 세워두기,"""바르게 세워진 당신의 이동 수단에서 바른 책임감이 보입니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),야간 주택가,밤의 정적,밤늦게 주택가를 지날 때는 큰 소리나 음악 소리 자제하기,"""잠든 이웃을 배려하는 당신의 조용한 발걸음이 깊은 밤을 지킵니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),건물 출입,출구 우선,건물 입구에서 나오는 사람이 먼저 지나가도록 옆에서 기다리기,"""나가는 사람을 먼저 배려하는 순서가 당신의 질서 의식을 보여줍니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),우산 펼치기,시야 확보,비 오는 날 계단 아래서 우산을 펼칠 때 주변에 사람이 없는지 살피기,"""사방을 살피는 당신의 조심스러움이 누군가의 옷과 마음을 지켜줍니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),교통 카드,미리 준비,승차 전 카드를 미리 꺼내 뒷사람의 대기 시간을 줄여주기,"""미리 준비하는 당신의 세심함이 모두의 흐름을 원활하게 만듭니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),거리 유지,공간의 존중,줄을 설 때 앞사람과 너무 붙지 않게 적절한 거리 유지하기,"""상대의 개인 공간을 지켜주는 거리가 서로를 더 편안하게 연결합니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),가게 비품,소중한 취급,서점의 책이나 가게의 물건을 조심스럽게 다루고 제자리에 두기,"""타인의 자산을 소중히 여기는 태도는 당신의 품격을 높여줍니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),공용 화장실,휴지의 절약,공용 화장실의 휴지나 물티슈를 필요한 만큼만 아껴 쓰기,"""작은 자원까지 아끼는 당신의 마음이 다음 사람의 편안함이 됩니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),배려석 비우기,임산부의 자리,분홍색 임산부 배려석은 자리가 비어 있어도 가급적 비워두기,"""비워진 자리는 누군가에게는 가장 든든한 환영의 메시지가 됩니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),에스컬레이터,한 줄의 약속,급한 사람을 위해 한쪽 길을 비워두거나 걷지 않고 서 있기,"""한 줄로 서는 당신의 질서가 모두의 바쁜 일상을 조율합니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),식당 예절,수저의 순서,어른과 식사할 때 수저와 물을 먼저 챙겨드리는 센스 갖기,"""작은 손길 하나에 담긴 존중이 식탁 위의 온기를 더합니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),반려동물,눈으로만 인사,길에서 만난 강아지나 고양이를 함부로 만지지 않고 주인께 묻기,"""생명을 존중하는 당신의 신중함이 동물과 주인 모두를 행복하게 합니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),공연장 매너,앞 좌석 보호,영화관이나 공연장에서 앞 좌석을 발로 차지 않도록 주의하기,"""당신의 발끝에 담긴 조심스러움이 타인의 몰입을 완성합니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),분리수거,지구를 위한 손길,야외에서 쓰레기를 버릴 때 재활용 표시를 확인하고 제대로 분류하기,"""한 번 더 살피는 당신의 손길에 지구의 미래가 담겨 있습니다.""",,
,하굣길의 작은 영웅 (대중교통 및 외부 매너),친절한 표현,마법의 단어,"""실례합니다"", ""감사합니다""를 상황에 맞춰 자주 사용하기","""당신의 입술에서 나오는 예쁜 말들이 세상을 더 다정하게 만듭니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),귀가 인사,만남의 첫 마디,"현관에 들어서며 가족에게 밝은 목소리로 ""다녀왔습니다"" 하기","""당신의 목소리는 집 안의 정적을 깨우는 가장 반가운 음악입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),외출 정보,안심의 공유,나갈 때는 목적지와 예상 귀가 시간을 가족에게 미리 알리기,"""당신의 정보를 나누는 것은 가족의 걱정을 안심으로 바꾸는 사랑입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),내 방 관리,정리의 자립,내 방 청소와 책상 정리는 부모님께 맡기지 않고 스스로 하기,"""스스로 정돈하는 당신의 방에서 성숙한 어른의 모습이 보입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),세탁 매너,뒤집힌 옷 방지,벗은 양말이나 옷은 뒤집히지 않게 똑바로 해서 세탁 바구니에 넣기,"""빨래하는 분의 수고를 덜어주는 당신의 손길은 실천하는 효도입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),식사 시작,감사의 한마디,"식사 전 차려주신 분께 ""잘 먹겠습니다""라고 기쁘게 인사하기","""당신의 진심 어린 인사는 요리한 분의 고단함을 잊게 하는 최고의 보상입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),식사 마무리,설거지의 예우,다 먹은 그릇은 싱크대에 넣고 음식물이 굳지 않게 물 부어두기,"""작은 마무리를 돕는 당신의 마음이 가족의 저녁 시간을 여유롭게 합니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),가족 노크,경계의 존중,부모님이나 형제의 방에 들어갈 때는 반드시 노크하고 기다리기,"""문을 두드리는 소리는 가족의 사생활을 아끼는 당신의 예의입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),야간 정숙,고요한 배려,가족들이 자는 시간엔 샤워나 헤어드라이어 사용을 최대한 자제하기,"""상대의 깊은 잠을 지켜주는 당신의 배려가 집안의 평화를 지킵니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),심부름,기분 좋은 응답,부모님의 심부름 요청에 인상을 쓰지 않고 흔쾌히 다녀오기,"""당신의 흔쾌한 대답 한마디가 부모님께는 가장 큰 힘이 됩니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),형제 물건,공유의 경계,형제나 자매의 물건을 쓸 때는 아주 작은 것이라도 미리 허락 맡기,"""허락을 구하는 존중 속에 형제간의 다툼은 사라지고 신뢰가 쌓입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),퇴근 위로,위로의 마중,"퇴근하신 부모님께 ""오늘 고생 많으셨어요""라고 먼저 인사하기","""당신의 다정한 위로 한마디에 부모님의 하루 피로가 사르르 녹습니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),가전 양보,리모컨의 평화,거실 TV나 공용 컴퓨터를 독점하지 않고 가족의 의사를 묻기,"""서로의 취향을 나누는 시간이 모여 가족의 이야기가 풍성해집니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),화장실 매너,뒷사람의 쾌적,화장실 사용 후엔 냄새가 나지 않게 환기하고 머리카락 정돈하기,"""당신이 남긴 깨끗한 뒷자리는 가족에 대한 가장 친밀한 배려입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),늦은 귀가,발소리의 침묵,늦게 들어올 땐 현관문 소리를 줄이고 까치발로 조용히 이동하기,"""조심스러운 당신의 발소리에서 가족을 아끼는 깊은 마음이 느껴집니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),마지막 음식,나눔의 확인,냉장고에 하나 남은 음식을 먹을 땐 가족에게 먹어도 되는지 묻기,"""마지막 하나까지 챙겨주려는 마음이 가족을 더욱 끈끈하게 만듭니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),식사 시간,폰과의 거리,식탁에서는 스마트폰을 내려놓고 가족과 눈을 맞추며 대화하기,"""지금 이 순간, 화면 속 소식보다 가족의 하루 이야기가 더 중요합니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),분리 배출,운송장의 보안,택배 상자를 버릴 때 운송장은 제거하고 박스는 잘 접어 내놓기,"""가족의 정보를 지키고 정리를 돕는 당신은 집안의 든든한 파수꾼입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),신발 정돈,현관의 첫인상,외출 후 돌아와서 내 신발은 신발장에 넣거나 가지런히 두기,"""단정하게 정돈된 신발에서 당신의 흐트러짐 없는 마음가짐이 보입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),말투의 온도,다정한 언어,가족에게 짜증이나 불평 섞인 말투 대신 부드러운 말투 쓰기,"""가장 가까운 사람에게 더 예쁘게 말하는 당신은 참 따뜻한 사람입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),안부 전화,반가운 목소리,부모님의 안부 전화를 귀찮아하지 않고 정답게 받기,"""당신의 밝은 목소리 하나가 부모님의 오늘을 가장 행복하게 만듭니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),작은 일손,수저의 준비,식사 전 수저를 놓고 물을 따르는 등 사소한 일들을 먼저 돕기,"""당신의 작은 움직임이 모여 모두가 행복한 식탁이 완성됩니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),먼저 사과,화해의 용기,"형제와 다퉜을 때 자존심을 세우기보다 먼저 ""미안해""라고 말하기","""먼저 손을 내미는 당신의 용기가 차가웠던 집안 분위기를 훈훈하게 바꿉니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),멀티미디어,소음의 경계,컴퓨터 게임이나 영화 소리가 거실까지 크게 들리지 않게 조절하기,"""소리의 크기를 조절하는 만큼 가족에 대한 당신의 사랑도 커집니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),아침 인사,하루의 시작,"아침에 눈을 뜨면 가족에게 ""안녕히 주무셨어요?""라고 인사하기","""당신의 밝은 아침 인사가 우리 가족의 하루를 힘차게 엽니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),요리 칭찬,피드백의 매너,"부모님이 해주신 음식에 ""진짜 맛있어요""라는 감탄사 아끼지 않기","""당신의 칭찬 한마디가 주방을 세상에서 가장 행복한 곳으로 만듭니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),세탁물 분류,분류의 지혜,"수건, 양말, 겉옷 등 세탁물을 지정된 바구니에 잘 나누어 넣기","""꼼꼼하게 분류하는 당신의 손길이 가사 노동을 덜어주는 보석이 됩니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),기념일,기억의 선물,가족의 생일이나 기념일을 잊지 않고 편지나 작은 선물로 축하하기,"""기억해주는 마음보다 더 큰 감동은 없습니다. 당신은 최고의 선물입니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),소모품 보충,다음의 배려,화장실 휴지나 물티슈를 다 썼다면 새것으로 교체해 두기,"""다 쓴 것을 채우는 당신의 성실함이 가족의 당황스러움을 막아줍니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),개인 위생,건강의 매너,외출 후 돌아오면 가장 먼저 손을 씻고 청결을 유지하기,"""나를 가꾸는 습관이 가족의 건강을 지키는 가장 튼튼한 방패가 됩니다.""",,
,집으로 배달된 배려 (가족 및 홈 매너),취침 인사,사랑의 마침표,"자기 전 가족들에게 ""안녕히 주무세요"" 혹은 ""사랑해요""라고 말하기","""당신의 마지막 인사가 가족 모두에게 가장 포근한 자장가가 됩니다.""",,
,,,,,
